Name of the college,District
Sahya Arts and Science College,Malappuram
Sahyadri College of Engineering & Management,
Sahyadri Commerce and Management College,
Sahyadri Parisar Shikshan Prasarak Mandal’s Shri Manohar Hari Khapane College of Arts and Commerce,Ratnagiri
Sahyadri Science College,
Sahydri Arts College,
Sahyog Pratishthan’s, Sahyog College of Management Studies,Thane
Sahyogi R.B. Degree College,
Sai Baba Gauri Baba Shri Arjun Singh Mahavidyalaya,Ambedkar Nagar
Sai College of Education,
Sai College of Education,Mahoba
Sai College of Medical Science & Technology,
Sai Degree College,
Sai Law College,Bara Banki
Sai Mahavidyalaya,
Sai Meer Degree College,Kannauj
Sai Rajeswari Institute of Technology,Y.S.R.
Sai Savitri Memorial Mahavidyalaya,,
Sai Shyam College of Education,Jammu
Sai Spurthi Institute of Technology (C5),
Sai Tirumala Nalabothu Venkata Rao Engineering College,Guntur
Sai Vidya Institute of Technology,Bangalore
Saibaba Arts and Science College,Nagpur
Saibalaji Education Society’s Saibalaji International Institute of Management Sciences,
Saibalaji Educational Society International Institute of Management & Human Resource Development for Women,
Saifee Jubilee Arts and Commerce College,
Saifia  College,
Sailajananda Falguni Samrit Mahavidyalaya,
Saini Bar College,
Sainik Degree College,
Sainik Girja Shankar Mahavidyalaya,Jaunpur
Saint Claret College,
Saint Mary's Syrian College,
Saint Mauni Baba S.M.S. Girls Degree College,Azamgarh
Saintgits College of Applied Sciences,Kottayam
Saintgits College of Engineering,Kottayam
Saitual College,
Saiva Bhanu Kshatriya College,
Saiyadaah Siddiqui Girls Degree College.,
Sakaldiha P.G. College,Chandauli
Sakeshwar Gramin Vikas Seva Sanstha’s Adsul’s Technical Campus,
Saket Girls Degree College,
Sakshi Malik Government College for Girls,Rohtak
Sakthi College of Arts  and Science for Women,Dindigul
Sakthi Institute of Information and Management Studies,Coimbatore
Salbari College,Baksa
Saldiha College,
Salem Sowdeswari College,Salem
Salesian College of Higher Education,Dimapur
Salesian College,
Salipur College,
Salt Christian College of Teacher Education,
Salt Christian College,
Saltora Netaji Centenary College,
Samadhan College,
Samaguri College,Nagaon
Samajbhushan Ganpatrao Kalbhor Arts, Commerce & Science College,Pune
Samaldas Arts College,
Samarjeet (S.J.) Mahavidyalaya,
Samarpan Science and Commerce College Samarpan Education Campus,Gandhinagar
Samarth Educational Trust’s Arvind Gavali College of Engineering,Satara
Samartha Mahvidyalaya,
Samastipur College,
Samastipur Women's College,
Samata Shikshan Mahavidyalaya,Nagpur
Samaye G.H.A. Mahavidyalaya,
Sambhaji College (Arts & Commerce),
Sambhajirao Kendre Mahavidyalaya,
Sambhunath College,
Samdariya Balika Mahavidyalaya,
Sammilani Mahavidyalaya,
Sammilani Teachers’ Training College,
Samrat Prithvi Raj Chauhan Degree College,
Samrat Prithviraj Chauhan Government College,
Samsi College,
Samskruti College of Engineering & Technology,Rangareddy
Samskruti College of Pharmacy,
Samta Post Graduate College,
Samuktala Sidhu Kanhu College,
SAN International College of Arts and Science,Coimbatore
Sanatan Dharam Sanskrit College,
Sanatan Dharma College,
Sanatan Sanskrit College,
Sanatana Dharma College,
Sanctorum College of Education,Kashmir
Sandan Lal Sanwal Das Khanna Mahila Mahavidyalaya,
Sandesha Lalit Kala Mahavidyalaya,
Sandip Foundation’s Sandip Institute of Engineering & Management,Nashik
Sandip Foundation’s Sandip Institute of Pharmaceutical Sciences,Nashik
Sandip Foundation’s Sandip Institute of Technology & Research Centre,Nashik
Sandipani Academy,Durg
Sandipani Arts & Commerce College,
Sane Guruji Vidya Prabodhini Comprehensive College of Education,
Sangameshwar College,
Sangamner Nagarpalika Arts D.J. Malpani Commerce & B.N. Sarda Science College,
Sanghamam College of Arts and Science,Viluppuram
Sangit Mahavidyalaya,
Sangit Niketan,
Sangola College,
Sangolli Rayanna First Grade Constituent College,
Sangvi Matushri Puribai Bhurmal Jain Government College,
Sanjay Gandhi (PG) College,
Sanjay Gandhi College of Education,
Sanjay Gandhi Law College,
Sanjay Gandhi Mahila College,
Sanjay Gandhi Memorial College,
Sanjay Gandhi P.G. College,
Sanjay Malviya Degree College,Allahabad
Sanjay Memorial Women’s College,Varanasi
Sanjay Teacher’s Training College,Jaipur
Sanjeevanee Mahavidyalaya,
Sanjivani College of Pharmaceutical Education & Research,Ahmadnagar
Sanjivani College of Pharmaceutical Sciences,
Sanjivani Rural Education Society’s Sanjivani College of Engineering,
Sanjivani Rural Education Society’s, Sanjivani Arts, Commerce and Science College,
Sanjivani Rural Educational Society’s Shri Saibaba College of Education,Ahmadnagar
Sanjivnie College of Education & Physical Education,
Sanjivnie College of Law,
Sanjivnie Mahavidyalaya,
Sanjo College of Management and  Advanced Studies (SCMAS),
Sankalp Institute of Education,Ghaziabad
Sankalp Mahila Mahavidyalaya,
Sankara College of Science and Commerce,Coimbatore
Sankardev College,
Sankardev Mahavidyalaya,Lakhimpur
Sankat Mochan Shikshan Prashikshan Sansthan Mahila Mahavidyalaya,Sultanpur
Sanketika Vidya Parishad Engineering College,Visakhapatnam
Sanmati College of Education,Washim
Sanmati College of Engineering,Washim
Sanmati Government College of Science Education & Research,
Sanskar City College of Education,Rajnandgaon
Sanskar Sarjan Education Society’s Dhirajlal Talakchand Sankalchand Shah College of Commerce,
Sanskar Vidya Bharti,
Sanskrit College,
Sanskrit Mahavidyalaya,
Sanskrit Mahavidyalaya,Rampur
Sanskrit Vidyapith,
Sanskrithi School of Business,
Sanskrithi School of Engineering,,
Sant Baba Attar Singh Khalsa College,
Sant Baba Bhag Singh Institute of Education,
Sant Baba Bhag Singh Memorial Girls College,
Sant Baba Dalip Singh Memorial Khalsa College,
Sant Bhika Das Ramjas Mahavidyalaya,
Sant Boola Satyanamdas Birbal Post Graduate College, Amari,
Sant Darbara Singh College for Women,
Sant Darbara Singh College of Education for Women,
Sant Dhangu Wale Gujjar Govt. College,Una
Sant Dnyaneshwar Mahavidyalaya,
Sant Dwarika Prasad Mahavidyalaya,
Sant Gadge Maharaj Arts, Commerce and Science College,
Sant Gajanan Maharaj College of Engineering,,
Sant Gramyanchal Mahavidyalaya,
Sant Hiradass Kanya Mahavidyalya,
Sant Hirdaram Girls College,
Sant Jaganade Maharaj Shikshan Mandals Arts & Commerce College,Nandurbar
Sant Janu Baba Smark Degree College,
Sant Jayacharya Mahila Mahavidyalaya,
Sant Kabir Acharya Amrit Das Mahavidyalaya,
Sant Kabir Mahanth Vidyanand College,Patna
Sant Kabir Sant Bhagwan Ram Sharan Mahavidyalaya,Bara Banki
Sant Kabir Vidyapeeth Mahavidyalaya,Sant Kabir Nagar
Sant Kavi Baba Baijnath Govt. P.G. College,
Sant Keenaram Mahila Degree College,
Sant Keenaram P.G. College,
Sant Kinaram Mahavidyalaya,Ghazipur
Sant Lakhan Das (Nagababa) Pachotar Mahavidyalaya,
Sant Majha Singh Karamjot College for Women,
Sant Mela Singh College of Education,Jammu
Sant Mohan Singh Klhalsa labana Girls College,
Sant Moni Sarvodaya Mahila Mahavidyalaya,
Sant Muktabai Arts and Commerce College,
Sant Nischal Singh College of Education for Women,Yamunanagar
Sant Paramhans Guru Prasad Balika Mahavidyalaya,
Sant Prem Singh Karamsar Khalsa College,
Sant Ram Krishna Parmhans Mahavidyalaya,
Sant Ram Lakhan Degree College,Allahabad
Sant Ram Prasad Chaudhary Mahavidyalaya,
Sant Ramdas Arts, Commerce and Science College,
Sant Ramkrishna Kanya Mahavidyalaya,
Sant Ramnarayan Rajkishore Shankar Mahila Mahavidyalaya,Ghazipur
Sant Rawool Maharaj Mahavidyalaya of Arts & Commerce,
Sant Shiromani Guru Ghasidas College,Janjgir - Champa
Sant Shiromani Guru Ravidas Government College,
Sant Shiromani Kabir Saheb Mahavidhyalaya,Jhansi
Sant Tukaram College of Arts and Science,
Sant Tulsidas Degree College,
Sant Vinoba Degree College,
Sant Viragi Baba Mahavidyalaya,
Santaji Mahavidyalaya,
Santal Bidroha Sardha Satabarshiki Mahavidyalaya,
Santaldih College,Puruliya
Santbula Chhotu Yaduvanshiya Mahavidyalaya,Mau
Santhal Pargana College,
Santhiram College of Pharmacy,
Santhiram Engineering College,Kurnool
Santipur College,
Santosee Maa Regional (+3 Degree) College,
Santosh Bhimrao Patil Arts, Commerce & Science College,
Santosh Kumar Mahavidyalaya,
Santosh Smarak Mahavidyalaya,Bijnor
Santram Chaudhary Smt. Rajkali Devi Educational Academy,
Sanwarjit Government Girls College,
Sao Chang Govt. College,
Sapatgram College,Dhubri
Sapekhati College,Sivasagar
Saquafia Millat Education Society’s Abdulkalam B.C.A. College,
Sarada Ma Girls’ College,North Twenty Four Parganas
Saradha Gangadharan College,
Saradvilas Teachers College,Mysore
Sarah Tucker College,
Saraighat College,Kamrup
Sarala Mahavidyalaya,
Saranathan College of Engineering,,Tiruchirappalli
Sarankul College,
Saraspur Arts and Commerce College,
Saraswat Degree Mahavidyalaya,
Saraswat Vidayala'sSridara Cawlo College of Commerce and management studies,
Saraswata Snataka Mahavidyalaya,
Saraswathy Narayanan College,
Saraswati College of Education,Jammu
Saraswati College of Professional Studies,
Saraswati College,
Saraswati Degree College,
Saraswati Devi Mahavidyalaya,
Saraswati Devi Mahavidyalaya,Kushinagar
Saraswati Devi Mahila Mahavidyalaya,
Saraswati Devi Nari Gyanasthali Mahavidyalaya,
Saraswati Education Society’s  Saraswati College of Engineering,
Saraswati Girls College,
Saraswati Higher Education and Technical College,
Saraswati Institute of Engineering & Technology,
Saraswati Institute of Management and Para-Medical Sciences,
Saraswati Kanya Degree College,Rampur
Saraswati Law college,
Saraswati Mahavidyalaya,
Saraswati Mahila Mahavidyalaya,
Saraswati Mandir Night College of Commerce & Arts,Pune
Saraswati Shanti Mahavidyalaya,Azamgarh
Saraswati Vidya Mandir Arts College,
Saraswati Vidya Mandir Law College,Bulandshahr
Saraswati Vidya Mandir Mahila Mahavidyalaya,
Saraswati Vidya Mandir Science & Technology Degree College,
Sarat Centenary College,
Saratha College of Arts and Science,,Erode
Sarb Narain Singh Ram Kumar Singh College,
Sarbamangala Degree College,
Sarbati Devi Women's College,
Sarbodaya College,Jorhat
SARBTM Government College,
Sarda College,Krishna
Sardar Ajit Singh Memorial Girls College,
Sardar Ballabh Bhai Patel Degree College,Bareilly
Sardar Ballabh Bhai Patel Kanya Mahavidyalaya,
Sardar Ballabh Bhai Patel Mahavidyalaya,Rae Bareli
Sardar Ballabh Bhai Patel Mahavidyalaya,Sultanpur
Sardar Ballabh Bhai Patel Mahavidyalaya,Varanasi
Sardar Begum Memorial Degree College,
Sardar Bhagat Singh College of Higher Education,Lucknow
Sardar Bhagat Singh Government Post-Graduate College,
Sardar Gunj Mercantile Co-Op Bank Ltd. (Anand) English Medium College of Commerce & Management,
Sardar Patel Bansh Gopal Sanatan Dharam Degree College,
Sardar Patel College of Administration & Management,
Sardar Patel College of Administration & Management,Anand
Sardar Patel College of Education,
Sardar Patel College of Education, Sardar Patel Education Campus,
Sardar Patel College of Engineering,
Sardar Patel College of Engineering,Anand
Sardar Patel College of Technology,Balaghat
Sardar Patel College,
Sardar Patel Degree College,Sant Kabir Nagar
Sardar Patel Institute of Applied Science,Anand
Sardar Patel Institute of Science and Technology Mahavidyalaya,
Sardar Patel M.S.D. Mahavidyalaya,Lalitpur
Sardar Patel Maha Dev Prasad Mahavidyalaya,Rae Bareli
Sardar Patel Mahavidyalaya,
Sardar Patel Mahila B.Ed. College,Mehsana
Sardar Patel Mahila Mahavidyalaya,Shahjahanpur
Sardar Patel Medical College,
Sardar Patel Smarak Degree College,
Sardar Singh Shiv Raj Singh Mahavidyalaya,
Sardar Vallabh Bhai Patel Government College,
Sardar Vallabh Bhai Patel National Police Academy,
Sardar Vallabhbhai Arts College,
Sardar Vallabhbhai Commerce College,
Sardar Vallabhbhai National Institute of Technology, Surat
Sardar Vallabhbhai National Institute of Technology, Surat,Surat
Sardar Vallabhbhai Patel Arts and Science College,
Sardar Vallabhbhai Regional College of Engineering and Technology,
Sardar Vallabhbhai Vanijya Mahavidyalaya,
Sardar Veerangonda Patil Mahila  Vidyapeeth Arts and Comm. College for Women,
Sarhad College of Arts, Commerce & Science,Pune
Sariya College,Giridih
Sarju Prasad Mahavidyalaya,Jaunpur
Sarju Rai Memorial Degree College,
Sarla Dwivedi Mahavidyalaya,
Sarnath Bodhisatva Mahavidyalaya,Varanasi
Saroj Vidyashankar Saraswati Mandir Mahavidyalaya,
Sarojini Naidu College for Women,
Sarojini Naidu Vanita Maha Vidyalaya,Hyderabad
Sarojini Naidu Vanita Pharmacy  Maha Vidyalaya,
Sarojini Naydu Govt. Girls Post Graduate College,
Sarsuna College,
Sarupathar College,Golaghat
Sarvajanik Arts & Commerce College,Nandurbar
Sarvajanik Commerce College,
Sarvajanik Degree College,
Sarvanand Sanskrit College,
Sarvanand Shandilya Yogeshwar Degree College,
Sarveshwari Mahavidyalaya,
Sarvjeet Kaushal Public Mahavidyalaya,Siddharthnagar
Sarvoday College of Education,
Sarvodaya College of Education,
Sarvodaya Kisan Degree College,
Sarvodaya Mahavidyalaya,
Sarvodaya Mahavidyalaya,Ambedkar Nagar
Sarvodaya Mahavidyalaya,Bahraich
Sarvodaya Mahila Degree College,Azamgarh
Sarvodaya Mahila Mahavidyalaya,Jaunpur
Sarvodaya PG College,
Sarvodya Mahavidyalaya,
Saryu Degree College,Gonda
Saryu Devi Mahavidyalaya,
Saryu Indra Mahavidyalaya,
Sasi Institute of Technology & Engineering,West Godavari
Sasurie College of Arts & Science,Tiruppur
Sasurie College of Engineering,Tiruppur
Saswat Mahavidyalaya,
Sat Jinda Kalyana College,
Satendra Bahadur Singh Sanskrit Mahavidyalaya,
Sateri Pisani Education Society’s Shri Gopal Gaonkar Memorial Goa Multi-Faculty College,South Goa
Satish Chandra College,
Satish Pradhan Dnyanasadhana College, Thane, (Arts, Science & Commerce),
Satish Public College of Education,
Satnami Kanya Vidyapeeth,Bulandshahr
Satpuda Shikshan Prasarak Mandal’s, Vasantrao Naik Arts, Science & Commerce College,
Satpura Mahavidyalaya for Law,
Satya Institute of Technology & Management,Vizianagaram
Satya Narain Uccha Shiksha Sansthan,
Satya Narayan Agarwal Government Arts & Commerce College,
Satya Narayan Mahavidyalaya,
Satya Narayan Mahavidyalaya,Deoria
Satya Narayan Sanskrit College,
Satya Sai Mahavidyalaya,Rae Bareli
Satyadev Degree College,Ghazipur
Satyam College of Education,Bharuch
Satyam College of Education,Jammu
Satyam Law College.,Ghaziabad
Satyam Shivam Subham Mahavidyalaya,Allahabad
Satyaniketan's Adv. Manoharrao Nanasaheb Deshmukh Arts & Science College,
Satyapal Singh Mahavidyalaya,Shahjahanpur
Satyapal Singh Yadav Mahavidayala,Shahjahanpur
Satyasahi College For women's,
Satyawati College (Evening Classes),
Satyawati College,
Satyawati Patel Mahavidyalaya.,Lakhimpur
Satyendra Narayan Singh Mahila Mahavidyalaya,
Sau Rajanitai Nanasaheb Deshmukh Arts, Commerce and  Science College,
Sau Rajnitai Nanasaheb Deshmukh Arts Commerce and Science College,
Saubhagyawati Bai Dani Mahila Mahavidyalya,
Saudan Singh Institute of Higher Education,Agra
Saurashtra College,
Saurashtra Gyanpith Arts & Commerce College,
Saveetha Engineering College,Chennai
Savita Devi Mahavidyalaya,
Savitri Bai Phule Government Post Graduate College,
Savitri Dayaram Pandey Sanskrit Mahavidyalaya,Pratapgarh
Savitri Devi Mahavidyalaya,
Savitri Devi Mahavidyalaya,Jaunpur
Savitri Devi Mahavidyalaya,Rampur
Savitri Devi Mahila Mahavidyalaya,Allahabad
Savitri Devi Mahila Mahavidyalaya,Shahjahanpur
Savitri Girls College,
Savitri Mahila Mahavidyalaya,Ghazipur
Savitri Shri Nath Mahavidyalaya,Ambedkar Nagar
Savitri Singh Mahila Mahavidyalaya,Azamgarh
Savitri Women's College,
Savitribai College of Arts,
Savitribai Phule B.Sc. and B.C.A. College,Hingoli
Savitribai Phule Mahila Mahavidyalaya,
Savitribai Phule Shikshan Prasarak Mandal’s Loknete Gopinathji Munde Arts, Commerce and Science College,Ratnagiri
Sawai Man Singh Medical College,
Sayyid Muhammed Ali Shihab Thangal Memorial Arts and Science Women’s College,Malappuram
Sazolie College,
SBIHM School of Management,Kolkata
SCAD College of Engineering and Technology,
School of Computer Science (Radha Govind Group of Institutions),
School of Engineering & Technology (Radha Govind Group of Institutions),
School of Engineering and Technology,Jhajjar
School of Environment and Architecture,
School of Information Technology,
School of Management   (Radha Govind Group of Institutions),
School of Management Sciences,
School of Management Sciences,Lucknow
School of Open Learning,
School of Planning and Architecture, Bhopal
School of Planning and Architecture, Bhopal,Bhopal
School of Planning and Architecture, Delhi
School of Planning and Architecture, Delhi,New Delhi
School of Planning and Architecture, Vijayawada
School of Planning and Architecture, Vijayawada,Vijayawada
School of Social Work,
Science College,
Science College,Ganjam
Science College,Kokrajhar
Scient Institute of Technology,Rangareddy
SCMS School of Engineering and Technology,Ernakulam
SCMS School of Technology & Management,
Scott Christian College,
Scottish Church College,
SCP Arts and DDS Commerce College,
SECAB Institute of Engineering and Technology,
SECAB's ARSI College of Arts , Science & Commerce for Women,
Secondary Teachers Training College,
Secondary Teachers' Training College,
Secondary Training College,Mumbai
Seelam Sioda Reddy and Jyothi Arts & Science College,
Seemant Degree College,
Seemanta Mahavidyalaya,
Seemawarti Mahavidyalaya,Bahraich
Seethalakshmi Achi Women's College,Sivagangai
Seethalakshmi Ramaswamy College,
SEICOM Degree College,
Selvam College of Technology,Namakkal
Selvamm Arts and Science College,
Semiliguda College,Korapat
Seng Khasi College,
Sengamala Thayaar Educational Trust Women’s College,
Sengunthar Arts and Science College,Namakkal
Sengunthar Engineering College,
Senthamarai College of Arts and Science,Madurai
Senthamil College,
Serampore College,
Serampore Girls' College,
Serchip College,
Servite College of Education for Women,
Ses's Mahasatee Arts & Commerce College,
Seshadripuram Academy of Business Studies,,
Seshadripuram College,
Seshadripuram Degree College,
Seshadripuram Evening Degree College,Bangalore
Seshadripuram First Grade College,Bangalore
Seshadripuram Institute of Commerce & Management,
Seth Anandaram Jaipuria College,
Seth Badri Prasad Smrati Mahavidyalaya,Jalaun
Seth Chunilal Amarchand Bohra Law College,
Seth G.B. Podar College,
Seth G.L. Bihani S.D. Postgraduate College,
Seth G.R. Chamaria College,
Seth Gagan Das Smriti Samiti Girls College,
Seth Goradhandas Sunderdas Medical College,
Seth Govindji Raoji Ayurved Mahavidyalaya,
Seth Jai Prakash Mukand Lal Institute of Engineering & Technology,Yamunanagar
Seth Kesarimal Porwal College of Arts & Science & Commerce,
Seth Motilal (PG) College,
Seth Narsingdass Mor College of Arts & Commerce & Smt. G.D. Sraf Science College,
Seth Navrang Rai Lohia Jairam Girls College,
Seth Netram Maghraj Tiberawala Government Girls College,
Seth Phool Chand Bagla (PG) College,
Seth Phoolchand Agarwal Smriti Mahavidyalaya,
Seth Purushotamdas Thakur Das Mahila College of Arts & Home Science,
Seth R.C.S. Arts & Commerce College,
Seth R.N. Ruia Government College,
Seth Raghunath Prasad Arts & Commerce Degree College,Rewa
Seth Ram Niranjan Das Murarka Sanskrit College,Patna
Seth Ram Swaroop Govindi Devi Mahavidyalaya,
Seth Ramakrishna Dhanuka Girls College,
Seth Ramanand Mangal Sain Degree College,
Seth Ramdas Memorial Mahavidyalaya,Jhansi
Seth Ranglal Kothari Government College,
Seth RL Saharia Government PG College,Jaipur
Seth Seorajmal Jalan Girls' College,
Seth Shree Kedarnath Modi Rajkiya Mahavidhalya,Jhunjhunun
Seth Virendra Kumar Mahavidyalaya,Jalaun
Sethu Institute of Technology,Virudhunagar
Seva Bharati Mahavidyalaya,
Seva Sadan College of Arts, Science & Commerce,
Seva Sadan's College of Education,
Sevabharathi First Grade College,Chamarajanagar
Sevadal Mahila Mahavidyalaya,
Sevamitra Bachelor of Social Work College,
Sevashram Degree College,
Sevayatan Sikshan Mahavidyalaya,
Seven Hills College of Pharmacy,Chittoor
Sewa Sadan Mahavidyalaya,
SGS Govt. Institute of Advanced Study in Education,East Godavari
Sh. Agrasen Mahila Mahavidyalaya,
Sh. C.h. Shah Maitri Vidyapith Mahila College of Education,
Sh. Chhatrapati Shivaji College,
Sh. N.K. Mehta & Smt. M.F. Devi Arts College,
Sh. P.H. Goswami Municipal Arts & Science College,
Sh. Puttulal Memorial Degree College,
Sh. Raja Rajeshwari Arts & Commerce College for Women,
Sh. Ratnasinhji Mahida Commerce College,
Sh. Sant Gadge Maharaj Mahavidyalaya,
Sh. Sant Gajanan Maharaj College of Engineering,
Sh. Shiv Prasad Memorial Girls Degree College,
Sh. Vijay Swaroop Mahila College of Education,
Sha-Shib College of Science & Management,
Shabari Smarak Degree College,
Shabri Balika Mahavidyalaya,
Shadab College of Education,Kashmir
Shadan College of Engineering and Technology,Hyderabad
Shadan Women’s College of Engineering and Technology,Hyderabad
Shafi Degree College,
Shah and Anchor Kutchi Engineering College,Mumbai
Shah Chandulal Kasturchand Municipal Commerce College,
Shah Goverdhan Lal Kabra Teachers College (C.T.E.),
Shah K.M. Law College,
Shah K.S. Arts & V.M. Parekh Commerce College,
Shah Norotamdas Harjivandas Commerce College,
Shah Satnam Ji Boys College,Sirsa
Shah Satnam Ji College of Education,Sirsa
Shah Sogamal Peeraji Oswal Government First Grade College,Vijayapur
Shah-I-Hamdan College of Education,Kashmir
ShahadaTaluka Co-Operative Education Society Ltd., Senior Arts MahilaMahavidyalaya,
Shahajade Singh Mahavidyalaya,
Shahaji Degree College,Pilibhit
Shahajiraje Mahavidyalaya,
Shaheed Akshayber Mall Mahila Mahavidyalaya,Mau
Shaheed Bandhu Singh Degree College,Gorakhpur
Shaheed Bhagat Singh College (Evening Classes),
Shaheed Bhagat Singh College,
Shaheed Bhagat Singh Government Degree College,
Shaheed Bhagat Singh Khalsa College For Girls,
Shaheed Bhagat Singh Law College,
Shaheed Bhagat Singh Mahavidhyalaya,,Sitapur
Shaheed Bhagat Singh Science Mahavidyalaya,Jalaun
Shaheed Bhagat Singh State Technical Campus,
Shaheed Bheema Nayak Govt. Post Graduate College,
Shaheed Captain Ripudaman Singh Rajkiya Mahavidyalaya,Sawai Madhopur
Shaheed Captain Vikram Batra Govt. College,
Shaheed Dalbir Singh Govt. College,Sonipat
Shaheed Darshan Singh Pheruman Memorial College For Women,
Shaheed Durga Mal Govt. Post Graduate College,
Shaheed Kanshi Ram College of Physical Eudcation,
Shaheed Kashi Ram Memorial College,
Shaheed Khem Chandra Dourbi Government Degree College,,Nainital
Shaheed Lance Naik Krishan Lal Government College for Girls,
Shaheed Major Satish Dahiya Government College,
Shaheed Mangal Pandey Government Girls Degree College,
Shaheed Rajguru College of Applied Sciences for Woman,
Shaheed Ram Singh Pathania Memorial G.N.D. University College,
Shaheed Sanjay Singh Mahila College,
Shaheed Singhran Mahavidyalaya,Jalaun
Shaheed Udham Singh Government College,
Shaheed Udham Singh Government Degree College,
Shaheed Veernarayan Singh Government College,Raigarh
ShaheedMangalPandey,
Shaheen College of Education,Kashmir
Shaheen Smarak Mahavidyalaya,
Shahid Bhagat Singh Degree College,
Shahid Bhagatsingh Mahavidyalaya,
Shahid Captain Vijay Pratap Singh Mahavidyalaya,
Shahid Jagdeo Smarak Mahavidyalay,
Shahid Matangini Hazra Government General Degree College for Women,Purba Champaran
Shahid Rajeev Pandey Government College,Raipur
Shahid Smarak Rajikya Mahaviydalaya,
Shahind Ksudiram College,
Shahji Law College,
Shahzada Nand College,
Shailabala Women's College,Cuttack
Shaildevi Mahavidyalaya,Durg
Shailendra Education Society’s, Arts, Commerce and Science College,
Shailesh Mahavidyalaya,Ghazipur
Shakti Peeth Degree College,
Shakti Smarak Sansthan,
Shakuntala Degree College,Bijnor
Shakuntala Devi Mahila Mahavidyalaya,
Shama Parveen Girls Degree College,
Shambhu Dayal College,
Shambhunath Institute of Engineering & Technology (SIET),
Shams Teacher’s Training College,
Shankar  Rao Bhalke College,Pune
Shankar Narayan College of Arts & Commerce,
Shankar Narayan College of Arts & Commerce,Thane
Shankara Gowda College of Education,
Shankarlal Agrawal College of Management Studies,
Shankarlal Agrawal Science College,
Shankarlal Dhanraj Signodia College of Arts and Commerce,
Shankarlal Khandelwal Arts, Science and Commerce College,
Shankarrao Chavan Mahavidyalaya,
Shankarrao Chavan Mahavidyalaya,Nanded
Shankarrao Mohite Mahavidyalaya,
Shankarrao Patil Mahavidyalaya,
Shanmuga Industries Arts & Science College,
Shantarau Potdukhe College of Law,
Shanthi Arts Science & Commerce College,
Shanti Devi Arya Mahila College,
Shanti Devi Jain Degree College,
Shanti Devi Mahavidyalaya,
Shanti Devi Memorial Mahila Mahavidyalaya,
Shanti Devi Rajan Babu Mahavidyalaya,
Shanti Devi Ram Badan Mahavidyalaya,Ambedkar Nagar
Shanti Devi Subhash Chandra Sushant Degree College,Bahraich
Shanti Education Society’s A.G. Patil Institute of Technology,Solapur
Shanti Jagdish Mahavidyalaya,Pratapgarh
Shanti Mahavidyalaya,
Shanti Mahila Mahavidyalaya,
Shanti Niketan College of Business Management and Computer Science,
Shanti Niketan College of Education, Franshi,,Hisar
Shanti Samarak Mahavidyalaya Shikshan Evam Prashikshan Sansthan,
Shanti Sashktikaran Mahavidyalaya,Gorakhpur
Shanti Sudama Samarak Mahavidyalaya,
Shanti Tara Girls College,
Shantilal Shah Engineering College,
Shantilata Mahavidyalaya,
Sharad Chandra Mahavidyalaya,
Sharada Devi Mahavidyalaya,Chandauli
Sharada Vidtalaya Degree College for Women,
Sharadabai Pawar College of Education,Pune
Sharadchandra Arts & Commerce College,
Sharadchandra Mahavidyalaya,
Sharadchandraji Pawar College (Arts and Commerce),Pune
Sharadrao Pawar Arts & Commerce College,
Sharda Devi Degree College,Jhansi
Sharda Devi Kanya Mahavidyalaya,Jaunpur
Sharda Devi Memorial Degree College,Sant Kabir Nagar
Sharda Mahavidyalaya (Arts & Science),
Sharda Sadan College,
Sharda Vilas College,Mysore
Sharda Vilas Law College,Mysore
Shardabai Pawar Mahila Arts, Commerce & Science College,Pune
Shardachandra Pawar Mahavidyalaya,
Shardchandra Arts & Commerce College,
Sharirik Shikshan Mahavidyalaya,
Sharmila Jaiswal Degree College,Allahabad
Shasakiya Naveen Mahavidyalaya,Dhamtari
Shashi Bhushan Balika Vidyalaya Degree College,
Shashidhar Panda Government College,
Shashwat Suryavanshi Mahavidyalaya,Ghazipur
Shaskiya Bapu Mahavidyalaya,Chhatarpur
Shaskiya Brijlal Verma Mahavidyalaya,
Shaskiya Danvir Tularam Mahavidyalaya,
Shaskiya Gundadhur Mahavidyalaya,Kondagaon
Shaskiya Kanya P.G. Mahavidyalaya,
Shaskiya Kavyopadhyaya Hiralal Mahavidyalaya,
Shaskiya Koduram Dalit Mahavidyalaya,
Shaskiya Lal Shyam Shah Mahavidyalaya,
Shaskiya Maa Mahamaya Mahavidyalaya,
Shaskiya Madanlal Shukla Mahavidyalaya,
Shaskiya Mahaprabhu Vallabhacharya Snatakottar Mahavidyalaya,
Shaskiya Mahaveer Mahavidyalaya,
Shaskiya Mahavidyalaya Madhya Pradesh,Barwani
Shaskiya Mahavidyalaya,
Shaskiya Mahavidyalaya,Alirajpur
Shaskiya Mahavidyalaya,Burhanpur
Shaskiya Mahavidyalaya,Damoh
Shaskiya Mahavidyalaya,Dhar
Shaskiya Mahavidyalaya,Indore
Shaskiya Mahavidyalaya,Jhabua
Shaskiya Mahavidyalaya,Raisen
Shaskiya Mahavidyalaya,Rewa
Shaskiya Mahavidyalaya,Seoni
Shaskiya Mahavidyalaya,Tikamgarh
Shaskiya Naveen Mahavidyalaya,Baloda Bazar
Shaskiya Naveen Mahavidyalaya,Raipur
Shaskiya Pandit Shyam Shakar Mishr Mahavidyalaya,Gariaband
Shaskiya Pataleshwar Mahavidyalaya,
Shaskiya Pt. Madav Rao Sapre College,
