Name of the college,District,State
Sree Narayan College,,Kerala
Sree Narayana Arts and Science College,Kottayam,Kerala
Sree Narayana College,,Kerala
Sree Narayana College,,Kerala
Sree Narayana College,,Kerala
Sree Narayana College,,Kerala
Sree Narayana College,,Kerala
Sree Narayana College,,Kerala
Sree Narayana College,,Kerala
Sree Narayana College for Women,,Kerala
Sree Narayana Guru College,,Tamil Nadu
Sree Narayana Guru College of Commerce,,Maharashtra
Sree Narayana Training College,,Kerala
Sree Nataraja Rasidealial Girst Grade College For Women,Mysore,Karnataka
Sree Neelakanta Govt. Sanskrit College,,Kerala
Sree Padmavathi Women's Degree and PG College,Chittoor,Andhra Pradesh
Sree Rama Engineering College,,Andhra Pradesh
Sree Ramu College of Arts & Science,,Tamil Nadu
Sree Sakthi Engineering College,Coimbatore,Tamil Nadu
Sree Sankara College,,Kerala
Sree Sankara College,,Kerala
Sree Sankara Vidyapeedom College,,Kerala
Sree Saraswathi Thiagaraja College,,Tamil Nadu
Sree Sastha Institute of Engineering and Technology,Chennai,Tamil Nadu
Sree Sevugan Annamalai College,Sivagangai,Tamil Nadu
Sree Shivaji Arts Comm. & Science College,,Maharashtra
Sree Siddaganga College of Arts Science & Commerce,,Karnataka
Sree Siddaganga College of Education,,Karnataka
Sree Siddaganga First Grade College of Arts and Commerce,Nelamangala,Karnataka
Sree Sowdambika College of Engineering,,Tamil Nadu
Sree Vahini Institute of Science and Technology,Krishna,Andhra Pradesh
Sree Venkateswara College of Engineering,,Andhra Pradesh
Sree Vidyadhi Raja N.S.S. College,,Kerala
Sree Vidyaniketan College of Pharmacy,Chittoor,Andhra Pradesh
Sree Vidyanikethan Engineering College,Chittoor,Andhra Pradesh
Sree Vidyanikethan Institute of  Management  Andhra Pradesh,Chittoor,Andhra Pradesh
Sree Vivekananda College,,Kerala
Sreekavitha Engineering College,Khammam,Andhra Pradesh
Sreekrishnapuram V.T. Bhattathiripat College,,Kerala
Sreenidhi Institute of Science and Technology,,Telangana
Sreenivasa Institute of Technology and Management Studies (SITAMS),Chittoor,Andhra Pradesh
Sreeram College,,Odisha
Sresakthimayeil Institute of Nursing & Research,,Tamil Nadu
Sreyas Institute of Engineering and Technology,Hyderabad,Telangana
"Sri 	Adichunchanagiri College of Education",,Karnataka
Sri A.B.R. Govt. Degree College,Guntur,Andhra Pradesh
Sri A.S.N.M. Govt. College,West Godavari,Andhra Pradesh
Sri Adi Chunchanagiri Women’s College,,Tamil Nadu
Sri Adichunchanagiri College of Pharmacy,Mandya,Karnataka
Sri Adichunchanagiri First Grade College,,Karnataka
Sri Adichunchanagiri First Grade College of Arts and Commerce,,Karnataka
Sri Adinasayana Mahila Kalasala,Anantkala,Andhra Pradesh
Sri Aditya Degree College,Bhimavaram,Andhra Pradesh
Sri Aditya Degree College,,Andhra Pradesh
Sri Agrasen Girls College,,Rajasthan
Sri Agrasen P.G. College of Education (CTE),,Rajasthan
Sri Akilandeswari Women’s College (Day),,Tamil Nadu
Sri Anant Ram Dwivedi Mahavidyalaya,,Uttar Pradesh
Sri Ankal Reddy Memorial Degree College,Kurnool,Andhra Pradesh
Sri Ankala Reddy Memorial College of Education,Kurnool,Andhra Pradesh
Sri Arali Siddlingappa Basappa Government First Grade College,,Karnataka
Sri Aravindar Arts & Science College,,Tamil Nadu
Sri Arvind Mahila College,Patna,Bihar
Sri Aurobindo College,Bangalore,Karnataka
Sri Aurobindo General Degree College (English Medium),,Tripura
Sri Avadh Raj Singh Smarak Mahavidyalaya,Gonda,Uttar Pradesh
Sri B.C.S.S. Arts & V.S. Commerce College,,Karnataka
Sri B.P. Brahmbhatt Arts and M.H. Guru Commerce College,,Gujarat
Sri Badri Prasad Mahavidyalaya,,Uttar Pradesh
Sri Baijnath Singh Mahavidyalaya,,Uttar Pradesh
Sri Baijnatha Shivkala Mahavidyalaya,,Uttar Pradesh
Sri Balamurugan Arts and Science College,Salem,Tamil Nadu
Sri Baldev PG College,,Uttar Pradesh
Sri Baldev Ram Mirdha Govt. College,,Rajasthan
Sri Bhagawan Mahaveer Jain College,Bangalore,Karnataka
Sri Bhagawan Mahaveer Jain First Grade College,,Karnataka
Sri Bharat Pati Mahavidyalaya,,Odisha
Sri Bharathi Arts and Science College for Women,Pudukkottai,Tamil Nadu
Sri Bhavananda Balika Mahavidyalaya,,Uttar Pradesh
Sri Bhiyalal Ramveer Singh Mahavidyalaya,Farrukhabad,Uttar Pradesh
Sri Bhuvanendra College,,Karnataka
Sri Bijivemula Veera Reddy Degree College,Y.S.R.,Andhra Pradesh
Sri Bodan Ram Mahavidyalaya,,Uttar Pradesh
Sri Brij Behari Degree College,,Uttar Pradesh
Sri Chaitanya Institute of Technology and Research,,Telangana
Sri Channamallappa Channaveerappa Hebbal Government First Grade College,,Karnataka
Sri Chaparala Satyanarayana Kalasala,Krishna,Andhra Pradesh
Sri Chatrapati Shivaji Maharaj Arts & Science First Grade College,,Karnataka
Sri Chintalapati Vara Prasada Murthy Raju Government Degree College,West Godavari,Andhra Pradesh
Sri Chitragupta Post - Graduate College,,Uttar Pradesh
Sri Chittem Narsi Reddy Memorial  Government College,,Telangana
Sri D. Devaraja Govt. First. Grade College,Mysore,Karnataka
Sri D.N.R. Govt. Degree College for Women,West Godavari,Andhra Pradesh
Sri Dharmasthala Manjunatheswara College,,Karnataka
Sri Dharmsthala Manjunatheswara Law College,,Karnataka
Sri Dhavala College,,Karnataka
Sri Diamond Degree College,,Uttar Pradesh
Sri Durga Malleswara Siddhartha Mahila Kalasala,Krishna,Andhra Pradesh
Sri Durgeshwar Mahila Sanskrit Andhra Kalasala,,Telangana
Sri Durgpal Singh Mahavidyalya,,Uttar Pradesh
Sri Eshwar College of Engineering,Coimbatore,Tamil Nadu
Sri Faiyaz Hussain Degree College,,Uttar Pradesh
Sri Faruq Hussain  Degree College,,Uttar Pradesh
Sri G.H.R. & M.C.M.R. Degree College,Guntur,Andhra Pradesh
Sri G.K. & C.K. Bosmia Arts and Commerce College,,Gujarat
Sri G.V.G. Visalakshi College for Women,,Tamil Nadu
Sri Gadadhar Acharya Jana College,Patna,Bihar
Sri Gajendra Singh Meera Devi Mahavidyalaya,Kannauj,Uttar Pradesh
Sri Ganesh College of Arts & Science,Salem,Tamil Nadu
Sri Ganesh Rai Post - Graduate College,,Uttar Pradesh
Sri Ganga Memorial Girls Degree College,,Uttar Pradesh
Sri Gangaram Bansidhar Mahavidyalaya,Jalaun,Uttar Pradesh
Sri Ghanshyam Dubey Degree College,,Uttar Pradesh
Sri Girraj Maharaj College of Law & Professional Studies,,Uttar Pradesh
Sri Gokarnathesheara College,,Karnataka
Sri Gowthami Degree & P.G. College,Prakasam,Andhra Pradesh
Sri Guraijada Apparao Govt. Degree College,Visakhapatnam,Andhra Pradesh
Sri Guru Ayyappaswamy First Grade Arts College,,Karnataka
Sri Guru Budhiswami Mahavidyalaya,,Maharashtra
Sri Guru Gobind Singh College,,Chandigarh
Sri Guru Govind Singh College of Commerce,,Delhi
Sri Guru Hari Singh College,,Haryana
Sri Guru Harkrishan Sahib Khalsa College,Ambala,Haryana
Sri Guru Nanak Dev Khalsa College,,Delhi
Sri Gurukul Mahavidyalaya,Gorakhpur,Uttar Pradesh
Sri H.D. Devegowda Government First Grade College,,Karnataka
Sri Hanumat Shikshan Sansthan Prashikshan Mahavidyalaya,,Uttar Pradesh
Sri Hari Degree College,,Andhra Pradesh
Sri Harihar Ji Mahavidyalaya,,Uttar Pradesh
Sri Harihar Rajmati Sanskrit Mahavidyalaya,,Uttar Pradesh
Sri Harihar Sanskrit Mahavidyalaya,,Bihar
Sri Heeranand Mahavidyalaya,Hamirpur,Uttar Pradesh
Sri Hemadri B.Ed. College,Kolar,Karnataka
Sri Honnadevi Government First Grade College,Tumkur,Karnataka
Sri Indu College of Engineering and Technology,,Telangana
Sri Indu Institute of Engineering & Technology,Rangareddy,Telangana
Sri Indu Institute of Management,Rangareddy,Telangana
Sri Indu Institute of Pharmacy,Rangareddy,Telangana
Sri Indu P.G. College,Hyderabad,Telangana
Sri Jagadguru Chandrashekhara Bharathi Memorial College,,Karnataka
Sri Jagadguru Murugharajendra College of Arts Science and Commerce,,Karnataka
Sri Jagadguru Renukacharya College of Science Arts and Commerce,,Karnataka
Sri Jagadguru Tontadarya Govt. First Grade College,Gadag,Karnataka
Sri Jaganath Mahavidyalaya,,Odisha
Sri Jagannath Veda Karmakanda Mahavidyalaya,Puri,Odisha
Sri Jagdamba Degree College,,Uttar Pradesh
Sri Jagdish Narayan Mahendra Prasad Mahavidyalaya,,Uttar Pradesh
Sri Jai Narayan Mahavidyalay,Ballia,Uttar Pradesh
Sri Jamuna Prasad Maurya Shikshan Prashikshan Santhan,Varanasi,Uttar Pradesh
Sri Jatangi Rameshwara Rural First Grade College,Chitradurga,Karnataka
Sri Jayachamarajendra College of Engineering,Mysore,Karnataka
Sri Jaydev College of Education & Technology,,Odisha
Sri K Puttaswamy First Grade College,Mysore,Karnataka
Sri K. Venkatapatheppa College of Physical Education,Chikkaballapura,Karnataka
Sri K.H. Patil Government First Grade College,,Karnataka
Sri K.L. Shastri Girls Degree College,,Uttar Pradesh
Sri Kakatiya Degree College,,Telangana
Sri Kalavara Varadaraja M. Shetty Government First Grade College,Udupi,Karnataka
Sri Kalayan Government Shastri Sanskrit College,,Rajasthan
Sri Kaliswari College,,Tamil Nadu
Sri Kaliswari Institute of Management and Technology,,Tamil Nadu
Sri Kalleshwara First Grade College,,Karnataka
Sri Kanyaka Parameswari Arts and Science College for Women,Chennai,Tamil Nadu
Sri Kasu Brahmananda Reddy Govt. Degree College,Guntur,Andhra Pradesh
Sri Kolli Nageshwara Rao Gangaiah Govt. First Grade College,,Karnataka
Sri Komal Shahu Smarak Mahavidyalaya,,Uttar Pradesh
Sri Krishna Adithya College of Arts and Science,Coimbatore,Tamil Nadu
Sri Krishna Arts and Science College,,Tamil Nadu
Sri Krishna Brahamacharya Ashram Adarsh  Sanskrit Mahavidyalaya,,Uttar Pradesh
Sri Krishna College,,West Bengal
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu
Sri Krishna College of Technology,Coimbatore,Tamil Nadu
Sri Krishna Degree College,Bangalore,Karnataka
Sri Krishna Dutt Academy,Lucknow,Uttar Pradesh
Sri Krishna Institute of Technology,Bangalore,Karnataka
Sri Krishna Janka Devi Mahavidyalaya,,Uttar Pradesh
Sri Krishna Janka Devi Mahavidyalaya,,Uttar Pradesh
Sri Krishnan Degree College,,Uttar Pradesh
Sri Kumara Gurupara Swamigal Arts College,,Tamil Nadu
Sri Kuvempu Mahavidyalaya,,Karnataka
Sri L.N. Hindu College,,Haryana
Sri Lakshmi College of Arts & Science,Viluppuram,Tamil Nadu
Sri Lakshmi Narsimha Swamy College,,Telangana
Sri Lakshmi Srinivasa Degree College,Y.S.R.,Andhra Pradesh
Sri Lalta Prasad Tiwari Smarak Mahavidyalaya,,Uttar Pradesh
Sri Laxmi Kishori Mahavidyalaya,Sitamarhi,Bihar
Sri Lazminaresmta Sanskrit Andhra Kalasala,,Telangana
Sri maa Mahila Mahavidyalaya,,Odisha
Sri Maddaneswara Government First Grade College,,Karnataka
Sri Mahadeswara College for Arts & Science,,Karnataka
Sri Mahant  Ramashray Degree College,,Uttar Pradesh
Sri Mahaveera College,,Karnataka
Sri Mahavir Prasad Mahila Mahavidyalaya,,Uttar Pradesh
Sri Mahavir Singh Smarak Mahavidyalaya,,Uttar Pradesh
Sri Majety Guravaiah Degree College,Guntur,Andhra Pradesh
Sri Manakula Vinayagar Engineering College,,Puducherry
Sri Manakula Vinayagar Medical College and Hospital,,Puducherry
Sri Maruthi First Grade College,,Karnataka
Sri Maruthi First Grade College,,Karnataka
Sri Mathura Prasad Mishra Mahavidyalaya,,Uttar Pradesh
Sri Meenakshi Government Arts College for Women,,Tamil Nadu
Sri Mittapalli College of Engineering,Guntur,Andhra Pradesh
Sri Muralidhar Bhagwat Lal Mahavidyalaya,,Uttar Pradesh
Sri Muthukumaran Institute of Technology,Chennai,Tamil Nadu
Sri Naraheji Mahavidyalaya,Ballia,Uttar Pradesh
Sri Narayan Singh Mahavidyalaya,,Uttar Pradesh
Sri Narpati Singh Mahavidyalaya,Sant Kabir Nagar,Uttar Pradesh
Sri Natarja Residential F.G. College for Women,Mysore,Karnataka
Sri Nath Baba Jangali Baba Mahavidyalaya,,Uttar Pradesh
Sri Neelam Sanjeeva Reddy Arts Science & Commerce College,Kurnool,Andhra Pradesh
Sri Nehru Mahavidyalaya College of Arts & Science,,Tamil Nadu
Sri Omar Vaish Vidyapeeth Lala Purushottam Das Jewellers Mahavidyalaya,,Uttar Pradesh
Sri P.P.S. College,,Uttar Pradesh
Sri Padmavathi Mahila Kalasala,,Telangana
Sri Padmavathi School of Pharmacy,,Andhra Pradesh
Sri Padum Singh Mahavidhyalaya,,Uttar Pradesh
Sri Palakondraya Swamy Degree College,,Andhra Pradesh
Sri Paramakalyani College,,Tamil Nadu
Sri Parasakthi College for Women,,Tamil Nadu
Sri Parasnath Institute of Education and Technology,Moradabad,Uttar Pradesh
Sri Poornaparajana College,,Karnataka
Sri Poornaparajna Evening College,,Karnataka
Sri Pratap College,Kashmir,Jammu and Kashmir
Sri Puttu Singh Mahavidyalaya,Auraiya,Uttar Pradesh
Sri R.N. Deshpande Government First Grade College,Gadag,Karnataka
Sri R.P.S. College,Muzaffarpur,Bihar
Sri Raajaraajan College of Engineering and Technology,karaikudi,Tamil Nadu
Sri Rachapudy Nagabhushanam Degree and P.G College,Y.S.R.,Andhra Pradesh
Sri Raghukul Mahila Vidyapeeth,Gonda,Uttar Pradesh
Sri Raghuveer Singh Yadav Mahavidyalay,,Uttar Pradesh
Sri Rakhant Baba Mahavidyalaya,,Uttar Pradesh
Sri Ram Chandra Mahavidyalaya,,Uttar Pradesh
Sri Ram Dawar Pandey Mahavidyalaya,,Uttar Pradesh
Sri Ram Degree College,Gajapati,Odisha
Sri Ram Engineering College,,Tamil Nadu
Sri Ram Janki Mahavidyalaya,,Uttar Pradesh
Sri Ram Kishun College,,Uttar Pradesh
Sri Ram Kripal Singh Tallukedar Mahavidyalaya,Kaushambi,Uttar Pradesh
Sri Ram Sahay Singh Kanya Mahavidyalaya,Basti,Uttar Pradesh
Sri Ram Singh Gulariya Mahavidyalaya,,Uttar Pradesh
Sri Ram Singh Mahavidyalaya,,Uttar Pradesh
Sri Ram Swaroop Tiwari Janta Mahavidyalaya,,Uttar Pradesh
Sri Rama Chandra Sanskrit College,,Odisha
Sri Ramakrishna College of Arts & Science,Coimbatore,Tamil Nadu
Sri Ramakrishna College of Arts & Science for Women,,Tamil Nadu
Sri Ramakrishna Engineering College,,Tamil Nadu
Sri Ramakrishna Institute of Technology,,Tamil Nadu
Sri Ramakrishna Mahavidyalaya,,Uttar Pradesh
Sri Ramakrishna Mission Vidyalaya College of Arts & Science,,Tamil Nadu
Sri Ramakrishna Mission Vidyalaya College of Education,,Tamil Nadu
Sri Ramakrishna Mission Vidyalaya Maruthi College of Physical Education,Coimbatore,Tamil Nadu
Sri Ramakrishna Sarda Vidyamahapitha,,West Bengal
Sri Ramalinga Sowdambigai College of Science and Commerce,,Tamil Nadu
Sri Ramanand Kailash Chand Pengoria College,,Uttar Pradesh
Sri Ramashray Jagdamba Gramin Mahavidyalaya,,Uttar Pradesh
Sri Rambhapuri Jagadguru Veeragangadhar Arts and Commerce College,,Karnataka
Sri Ramchandra Arts & Science College,,Telangana
Sri Ramchandra Arts & Science College,,Telangana
Sri Ramkrishna Degree College,Kurnool,Andhra Pradesh
Sri Ramkrishna Sarda Siksha Mandir,,West Bengal
Sri Ramnath Yadav Subhawati Devi Mahavidyalaya,,Uttar Pradesh
Sri Rang Shikshan Mahavidyalaya,,Gujarat
Sri Ranganathar Institute of Engineering and Technology,Coimbatore,Tamil Nadu
Sri Rangapoopathi College of Engineering,,Tamil Nadu
Sri Ravinath Singh Degree College,,Uttar Pradesh
Sri Ravuri Kanakaiah Memorial Law College,Chittoor,Andhra Pradesh
Sri Rayalaseema Christian College of Education,Kurnool,Andhra Pradesh
Sri Renugambal College of Education,,Tamil Nadu
Sri S.H. Kelkar College of Arts & Commerce & Science,,Maharashtra
Sri S.J.V.P. Arudhya College,,Karnataka
Sri Sai Baba National Degree College,Anantapur,Andhra Pradesh
Sri Sai Bharath College of Arts and Science,,Tamil Nadu
Sri Sai College for Women,Bangalore,Karnataka
Sri Sai College of Education,,Punjab
Sri Sai Degree & P.G. College,,Andhra Pradesh
Sri Sai Institute of Technology and Science,,Andhra Pradesh
Sri Sai Raghavendra Degree College,Nizamabad,Telangana
Sri Sai Ram Engineering College,,Tamil Nadu
Sri Sai Ram Institute of Technology,Chennai,Tamil Nadu
Sri Sai Shivram Girls Educational Institute,,Uttar Pradesh
Sri Sairam College of Engineering,Bangalore,Karnataka
Sri Sanatan Dharam Prakash Chand Girls College,,Uttarakhand
Sri Sankara Arts & Science College,,Tamil Nadu
Sri Sankara Bhagavathi Arts & Science College,Thoothukkudi,Tamil Nadu
Sri Sankara's College of Education,Kurnool,Andhra Pradesh
Sri Sankaranandagiri Swamy College,Anantapur,Andhra Pradesh
Sri Sankat Mochan Uchch Shiksha Evam Takniki Mahavidyalaya,Varanasi,Uttar Pradesh
Sri Sanskrit Mahavidyalaya,,Uttar Pradesh
Sri Sarada College for Women,,Tamil Nadu
Sri Sarada College for Women,Salem,Tamil Nadu
Sri Sarada College of Education,Salem,Tamil Nadu
Sri Sarada College of Education for Women,Tirunelveli,Tamil Nadu
Sri Sarada College of Physical Education for Women,Salem,Tamil Nadu
Sri Sarada Mahavidyalayam Arts and Science College for Women,,Tamil Nadu
Sri Sarada Nicketan College of Science for Women,,Tamil Nadu
Sri Sarada Niketan College for Women,Sivagangai,Tamil Nadu
Sri Saraswathi College of Education,Anantapur,Andhra Pradesh
Sri Sarvajna College of Education,,Karnataka
Sri Sarvodaya College,Sri Potti Sriramulu Nellore,Andhra Pradesh
Sri Sathguru Sangeetha Vidyalayam,,Tamil Nadu
Sri Sathya Sai Arts & Science College,Thiruvananthapuram,Kerala
Sri Sathya Sai College for Women,,Madhya Pradesh
Sri Satya Sai Government Degree College,Anantapur,Andhra Pradesh
Sri Satyadev Degree College,Allahabad,Uttar Pradesh
Sri Shakthi Institute of Engineering and Technology,,Tamil Nadu
Sri Shanmugha College of Engineering and Technology,Salem,Tamil Nadu
Sri Sharda Institute of Professional Studies,Lucknow,Uttar Pradesh
Sri Sharda Mahavidyalaya,,Uttar Pradesh
Sri Shirdi Sai Womens Degree College,,Andhra Pradesh
Sri Shiv Raj Singh Mahavidyalaya,Hardoi,Uttar Pradesh
Sri Shivaji Education Society Amravati's Science College,,Maharashtra
Sri Shivalingeswar Women College,,Karnataka
Sri Shrinivas Sarowagi College,,Madhya Pradesh
Sri Siddaganga College of Arts Science & Commerce For Women,,Karnataka
Sri siddaganga Evening College,,Karnataka
Sri Siddhartha College of Education,,Karnataka
Sri Siddhartha First Grade College,,Karnataka
Sri Siddhartha Institute of Management Studies,Tumkur,Karnataka
Sri Siddorameswar Degree College,,Karnataka
Sri Sikshayatan College,,West Bengal
Sri Sivani College of Engineering,Srikakulam,Andhra Pradesh
Sri Sivasubramaniya Nadar College  of  Engineering,,Tamil Nadu
Sri Sri Bayababa Mahavidyalaya,,Odisha
Sri Sri Dhabaleswar Mahavidyalaya,,Odisha
Sri Sri Jagannath Mahavidyalaya,,Odisha
Sri Sri Jagannath Mahavidyalaya,,Odisha
Sri Sri Shivaligeswara Swamy Govt. First Grade College,,Karnataka
Sri Subramaniaswamy Government Arts College,,Tamil Nadu
Sri Sudrishti Baba Degree College,,Uttar Pradesh
Sri Sunflower College of Engineering & Technology,Krishna,Andhra Pradesh
Sri Suraj Datt Kanti Devi Mahila Mahavidyalaya,Rae Bareli,Uttar Pradesh
Sri T.V. Venkataswamy First Grade College,,Karnataka
Sri Tarachand Degree College,,Uttar Pradesh
Sri Tika Ram Kanya Mahavidyalaya,,Uttar Pradesh
Sri Tilakdhari Atarwas Mahavidyalaya,,Uttar Pradesh
Sri Tirupati Balaji Mahavidyalaya,Etawah,Uttar Pradesh
Sri Uma Mahashwar Govt. Degree College,,Telangana
Sri Umapragathi First Grade College,Tumkur,Karnataka
Sri V.R. Patel Colleg of Commerce,,Gujarat
Sri Vaishnavi Degree College,,Andhra Pradesh
Sri Varshneya College,,Uttar Pradesh
Sri Vasantrao Naik Mahavidyalaya,Amravati,Maharashtra
Sri Vasari Bommidala Govt. Degree College,Kurnool,Andhra Pradesh
Sri Vasavi Arts Commerce & Science College,Kurnool,Andhra Pradesh
Sri Vasavi Engineering College,West Godavari,Andhra Pradesh
Sri Vasavi Institute of Engineering & Technology,Krishna,Andhra Pradesh
Sri Vasavi Institute of Pharmaceutical Sciences,West Godavari,Andhra Pradesh
Sri Veer Balika College,,Rajasthan
Sri Venkataramana Women’s College,,Karnataka
Sri Venkataramanaswamy College,,Karnataka
Sri Venkatesa Perumal College of Engineering & Technology,Chittoor,Andhra Pradesh
Sri Venkateshwara Arts College for Men,Chittoor,Andhra Pradesh
Sri Venkateshwara College,,Telangana
Sri Venkateshwara College of Arts and Sci.,,Tamil Nadu
Sri Venkateshwara College of Engineering,Bangalore,Karnataka
Sri Venkateshwara Govt. Arts & Science College,,Telangana
Sri Venkateshwara Govt. Oriental College,,Telangana
Sri Venkateshwara Oriental College,Chittoor,Andhra Pradesh
Sri Venkateshwara University College of Engineering,Chittoor,Andhra Pradesh
Sri Venkateshwaraa Dental College,,Puducherry
Sri Venkateshwaraa Medical College Hospital & Research Centre,,Puducherry
Sri Venkateswara & Sri Satyadeva Degree College,Guntur,Andhra Pradesh
Sri Venkateswara College of Arts and Computer Sciences,,Andhra Pradesh
Sri Venkateswara College of Education,,Karnataka
Sri Venkateswara College of Engineering,Chittoor,Andhra Pradesh
Sri Venkateswara College of Engineering,Sriperumbudur,Tamil Nadu
Sri Venkateswara College of Engineering and Technology,Chittoor,Andhra Pradesh
Sri Venkateswara College of Engineering and Technology,,Tamil Nadu
Sri Venkateswara College of Pharmacy,Chittoor,Andhra Pradesh
Sri Venkateswara Degree College,Guntur,Andhra Pradesh
Sri Venkateswara Degree College,Guntur,Andhra Pradesh
Sri Venkateswara Degree College,Anantapur,Andhra Pradesh
Sri Venkateswara Engineering College,,Andhra Pradesh
Sri Venkateswara Institute of Technology,Anantapur,Andhra Pradesh
Sri Venkateswaraa College of Technology,,Tamil Nadu
Sri Vidya Mandir Arts & Science College,,Tamil Nadu
Sri Vijay Vidyalaya College of Arts and Science,,Tamil Nadu
Sri Vinayaga College of Arts and Science,Viluppuram,Tamil Nadu
Sri Visweswara Sanskrit Andhra Kalasala,,Telangana
Sri Vivekananda Arts & Science College,Prakasam,Andhra Pradesh
Sri Vivekananda Degree College for Women,,Andhra Pradesh
Sri Vyasa N.S.S. College,,Kerala
Sri Y.N. College,West Godavari,Andhra Pradesh
Sri Y.S. Reddy Memorial Degree College,Y.S.R.,Andhra Pradesh
Sri Y.V. Nagi Reddy Degree College,,Andhra Pradesh
Sri YKR & K Government Degree College,,Andhra Pradesh
Sri. T.V. Venkataswamy College of Education,Tumkur,Karnataka
Sridevi Women’s Engineering College,Hyderabad,Telangana
Srijan Mahavidyalaya,,Uttar Pradesh
Sriji College,Ongole,Andhra Pradesh
Srikrupa Institute of Pharmaceutical Sciences,,Telangana
Srimad Andavan Arts and Science College,,Tamil Nadu
Srimath Sivagnana Balaya Swamigal Tamil Arts and Science College,,Tamil Nadu
Srimathi D.N. Bhat Vaishnav College for Women,,Tamil Nadu
Srimathi Indira Gandhi College,,Tamil Nadu
Srimati Shanti Devi Degree College,Agra,Uttar Pradesh
Srimati Vanshraji Devi Shikshan Prashikshan Mahila Mahavidyalay,Sant Kabir Nagar,Uttar Pradesh
Srinagar College of Education,Kashmir,Jammu and Kashmir
Srinagar Women’s College,Kashmir,Jammu and Kashmir
Srinath Ramnath Mahavidyalaya,Allahabad,Uttar Pradesh
Srinath Sanskrit Mahavidyala,,Uttar Pradesh
Srinibas College,,Odisha
Srinivas College of Hotel Management,,Karnataka
Srinivas Institute of Management Studies,,Karnataka
Srinivasa Institute of Engineering & Technology,East Godavari,Andhra Pradesh
Srinivasa Institute of Technology and Science,,Andhra Pradesh
Srinivasa Ramanujan Institute of Technology,Anantapur,Andhra Pradesh
Srinivasan College of Arts & Science,Perambalur,Tamil Nadu
Srinivasarao College of Pharmacy,Visakhapatnam,Andhra Pradesh
Sripat Singh College,,West Bengal
Sriram Chandra Bhanj +3 (Degree) College,,Odisha
Srisaila College of Education,,Karnataka
Srishti Balika Shikshan Sansthan,,Uttar Pradesh
SRK Institute of Technology,Krishna,Andhra Pradesh
SRM TRP Engineering College,Tiruchirappalli,Tamil Nadu
SRM Valliammai Engineering College,Kancheepuram,Tamil Nadu
SRNK Government Degree College,,Telangana
SRR & CVR (Govt.) College,Vijayawada,Andhra Pradesh
Srri Hagadguru Murugharajendra Arts College for Women,,Karnataka
Srusti Academy of Management,,Odisha
SS College of Engineering,Udaipur,Rajasthan
SSM College of Engineering,Baramula,Jammu and Kashmir
SSM Institute of Engineering and Technology,Dindigul,Tamil Nadu
SSS College of Education (B.Ed.),Nanded,Maharashtra
ST Xavier’s College of Management & Technology,Patna,Bihar
St.  John's College,,Uttar Pradesh
St. Agnes College,,Karnataka
St. Albert College,,Kerala
St. Aloysious College,,Kerala
St. Aloysius College,,Karnataka
St. Aloysius College,,Kerala
St. Aloysius College,,Madhya Pradesh
St. Aloysius Degree College,,Karnataka
St. Aloysius Evening College,,Karnataka
ST. Aloysius Institute of Technology,Jabalpur,Madhya Pradesh
St. Andrew College of Arts Science & Commerce,,Maharashtra
St. Andrew's College,,Uttar Pradesh
St. Ann's College for Women,Hyderabad,Telangana
St. Ann's College of Education,,Telangana
St. Ann’s College for Women,Guntur,Andhra Pradesh
St. Ann’s College for Women,Visakhapatnam,Andhra Pradesh
St. Ann’s College of Engineering and Technology,Prakasam,Andhra Pradesh
St. Anne’s Arts and Science College,Chennai,Tamil Nadu
St. Anne’s College of Engineering and Technology,Cuddalore,Tamil Nadu
St. Anne’s Degree College,Kodagu,Karnataka
St. Anne’s Degree College for Women,Bangalore,Karnataka
St. Anne’s First Grade College for Women,Bangalore,Karnataka
St. Annes College of Education,,Karnataka
St. Anthony's College,,Meghalaya
St. Antony’s College,Idukki,Kerala
St. Antony’s College of Arts and Sciences for Women,Dindigul,Tamil Nadu
St. Bede's College,,Himachal Pradesh
St. Berchuman's College,,Kerala
St. Christopher's College of Education,Chennai,Tamil Nadu
St. Claret College,Bangalore,Karnataka
St. Columbas' College,,Jharkhand
St. Cyril's College,,Kerala
St. Dominic's College,,Kerala
St. Edmunds College,,Meghalaya
St. Francies College for Women,,Telangana
St. Francies De Sales College,,Maharashtra
St. Francis College,Bangalore,Karnataka
St. Francis College,Bangalore,Karnataka
St. Francis De Sales College,West Siang,Arunachal Pradesh
St. Francis de Sales College,Bangalore,Karnataka
St. Francis Institute of Management and Research,,Maharashtra
St. Francis Institute of Technology,Mumbai,Maharashtra
St. Francis Institute of Technology,Mumbai,Maharashtra
St. Geogories College,,Kerala
St. George College,Nagpur,Maharashtra
St. George's College,,Kerala
St. Gonsalo Garcia College of Arts & Comm.,,Maharashtra
St. Ignatius College of Educaction,,Tamil Nadu
St. Jerome’s College of Arts and Science,Kanniyakumari,Tamil Nadu
St. John College,,Nagaland
St. John's College,,Tamil Nadu
St. John's College,,Kerala
St. John's Medical College,,Karnataka
St. John’s College of Arts & Science,,Tamil Nadu
St. Johns College of Engineering & Technology,Kurnool,Andhra Pradesh
